time,bid-price,bid-volume,ask-price,ask-volume
2008-01-02 14:31:59.900999680,64.95,5,65.0,70
2008-01-02 14:31:59.900999680,64.95,5,65.0,64
2008-01-02 14:31:59.900999680,64.95,12,65.0,64
2008-01-02 14:31:59.900999680,64.95,12,65.0,63
2008-01-02 14:31:59.900999680,64.95,5,65.0,63
2008-01-02 14:31:59.948000000,64.91,2,65.0,63
2008-01-02 14:31:59.948000000,64.96,1,65.0,63
2008-01-02 14:31:59.948000000,64.91,2,65.0,63
2008-01-02 14:31:59.968999936,64.86,30,65.0,63
2008-01-02 14:32:00.036000000,64.86,30,65.0,61
2008-01-02 14:32:00.036000000,64.86,30,65.0,62
2008-01-02 14:32:00.036000000,64.86,30,65.0,63
2008-01-02 14:32:00.036000000,64.85,13,65.0,63
2008-01-02 14:32:00.036000000,64.85,13,65.0,60
2008-01-02 14:32:00.086000384,64.9,4,65.0,60
2008-01-02 14:32:00.100000256,64.85,13,65.0,60
2008-01-02 14:32:00.488999936,64.85,13,64.95,1
2008-01-02 14:32:00.492000000,64.85,13,65.0,60
2008-01-02 14:32:00.501000192,64.85,13,64.97,1
2008-01-02 14:32:00.501000192,64.85,13,64.97,2
2008-01-02 14:32:00.501000192,64.85,10,64.97,2
2008-01-02 14:32:00.565999872,64.85,10,64.95,1
2008-01-02 14:32:00.734000384,64.79,73,64.95,1
2008-01-02 14:32:00.734000384,64.79,73,64.94,1
2008-01-02 14:32:00.734000384,64.8,1,64.94,1
2008-01-02 14:32:00.734000384,64.8,1,64.95,1
2008-01-02 14:32:00.812000512,64.85,5,64.95,1
2008-01-02 14:32:00.912999936,64.85,5,64.97,1
2008-01-02 14:32:00.912999936,64.85,6,64.97,1
2008-01-02 14:32:00.912999936,64.86,5,64.97,1
2008-01-02 14:32:00.912999936,64.86,5,64.95,3
2008-01-02 14:32:00.912999936,64.8,1,64.95,3
2008-01-02 14:32:00.912999936,64.8,1,64.95,4
2008-01-02 14:32:00.912999936,64.8,1,64.95,3
2008-01-02 14:32:00.912999936,64.8,1,64.94,1
2008-01-02 14:32:00.969000704,64.8,1,64.94,2
2008-01-02 14:32:01.021999872,64.8,1,64.94,3
2008-01-02 14:32:01.132999936,64.79,73,64.94,3
2008-01-02 14:32:01.132999936,64.79,73,64.94,2
2008-01-02 14:32:01.132999936,64.8,1,64.94,2
2008-01-02 14:32:01.132999936,64.79,73,64.94,2
2008-01-02 14:32:01.132999936,64.91,1,64.94,2
2008-01-02 14:32:01.132999936,64.79,73,64.94,2
2008-01-02 14:32:01.198999808,64.85,1,64.94,2
2008-01-02 14:32:01.198999808,64.85,6,64.94,2
2008-01-02 14:32:01.198999808,64.85,5,64.94,2
2008-01-02 14:32:01.198999808,64.85,5,64.94,1
2008-01-02 14:32:01.198999808,64.85,5,64.92,1
2008-01-02 14:32:01.198999808,64.85,5,64.94,1
2008-01-02 14:32:01.198999808,64.85,5,64.95,3
